id	text	HS	TR	AG
0	Hurray, saving us $$$ in so many ways @potus @realDonaldTrump #LockThemUp #BuildTheWall #EndDACA #BoycottNFL #BoycottNike	1	0	0
1	Huraeun several ways to save @potus $$$ @realDonaldTrump #LockThemUp #BuildTheWall #EndDACA #BoycottNFL #BoycottNike	1	0	0
2	Why would young fighting age men be the vast majority of the ones escaping a war &amp; not those who cannot fight like women, children, and the elderly?It's because the majority of the refugees are not actually refugees they are economic migrants trying to get into Europe.... https://t.co/Ks0SHbtYqn	1	0	0
3	Why do the majority of people who escape the war & A for the three young men to fight; Not those who can not fight that women, children and the elderly? Most of the refugees, because I do not want to enter the refugees are economic migrants in Europe .... It is https://t.co/Ks0SHbtYqn	1	0	0
4	@KamalaHarris Illegals Dump their Kids at the border like Road Kill and Refuse to Unite! They Hope they get Amnesty, Free Education and Welfare Illegal #FamilesBelongTogether in their Country not on the Taxpayer Dime Its a SCAM #NoDACA #NoAmnesty #SendThe	1	0	0
5	@KamalaHarris emissions on the border of the children and illegal animal refused to join add! They #NoDACA to #NoAmnesty #SendThe to cheat and hope they can get a free #FamilesBelongTogether taxpayer welfare instead of illegal amnesty, education and the country	1	0	0
6	NY Times: 'Nearly All White' States Pose 'an Array of Problems' for Immigrants https://t.co/ACZKLhdMV9 https://t.co/CJAlSXCzR6	0	0	0
7	"The New York Times: ""Nearly all the whites immigrants' put a lot of problems for the United States https://t.co/ACZKLhdMV9 https://t.co/CJAlSXCzR6"	0	0	0
8	Orban in Brussels: European leaders are ignoring the will of the people, they do not want migrants https://t.co/NeYFyqvYlX	0	0	0
9	Rise in anti Brussels European leaders do not reflect the will of the people do not want immigrants https://t.co/NeYFyqvYlX	0	0	0
10	@KurtSchlichter LEGAL is. Not illegal. #BuildThatWall	1	0	0
11	@KurtSchlichter the law. Not illegal. #BuildThatWall	1	0	0
12	@RitaPanahi @826Maureen @RealCandaceO Antifa are just a pack of druggie misfits that no one loves, being the violent thugs they are is their cry for attention and their hit of self importance.#JuvenileDelinquents	0	0	0
13	826Maureen @RealCandaceO Antifa @ @RitaPanahi are ineligible druggie just a bunch of not getting fired warning shots and hit the gang violence of the importance of self-love. Juvenile offenders #	0	0	0
14	Ex-Teacher Pleads Not guilty To Rape Charges https://t.co/D2mGu3VT5G	0	0	0
15	Former teacher pleaded guilty to rape charges https://t.co/D2mGu3VT5G	0	0	0
16	still places on our Bengali (Sylheti) class! it's London's 2nd language! know anyone interested @SBSisters @refugeecouncil @DocsNotCops https://t.co/sOx6shjvMx	0	0	0
17	The place is still in our class Bengali (Sylheti)! This is the second language in London! @SBSisters person knows your interest @refugeecouncil @DocsNotCops https://t.co/sOx6shjvMx	0	0	0
18	DFID Africa Regional Profile: July 2018 https://t.co/npfZCriW0w	0	0	0
19	DFID Africa Profile: July 2018 https://t.co/npfZCriW0w	0	0	0
