id	text	HS	TR	AG
0	Hurray, saving us $$$ in so many ways @potus @realDonaldTrump #LockThemUp #BuildTheWall #EndDACA #BoycottNFL #BoycottNike	1	0	0
1	Huraeun several ways to save @potus $$$ @realDonaldTrump #LockThemUp #BuildTheWall #EndDACA #BoycottNFL #BoycottNike	1	0	0
2	Hurra, saving $$$ @potus many ways @realDonaldTrump #LockThemUp #BuildTheWall #EndDACA #BoycottNFL #BoycottNike	1	0	0
3	Why would young fighting age men be the vast majority of the ones escaping a war &amp; not those who cannot fight like women, children, and the elderly?It's because the majority of the refugees are not actually refugees they are economic migrants trying to get into Europe.... https://t.co/Ks0SHbtYqn	1	0	0
4	Why do the majority of people who escape the war & A for the three young men to fight; Not those who can not fight that women, children and the elderly? Most of the refugees, because I do not want to enter the refugees are economic migrants in Europe .... It is https://t.co/Ks0SHbtYqn	1	0	0
5	Why young men of fighting age the vast majority of those who escape from war & amp; Not those who can not fight as women, children and the elderly? It is because most refugees are not really refugees are economic migrants trying to enter Europe .... https://t.co/Ks0SHbtYqn	1	0	0
6	@KamalaHarris Illegals Dump their Kids at the border like Road Kill and Refuse to Unite! They Hope they get Amnesty, Free Education and Welfare Illegal #FamilesBelongTogether in their Country not on the Taxpayer Dime Its a SCAM #NoDACA #NoAmnesty #SendThe	1	0	0
7	@KamalaHarris emissions on the border of the children and illegal animal refused to join add! They #NoDACA to #NoAmnesty #SendThe to cheat and hope they can get a free #FamilesBelongTogether taxpayer welfare instead of illegal amnesty, education and the country	1	0	0
8	The @KamalaHarris illegal dump their children at the border and animals run over and refuse to join! They hope they get Amnesty, Education and Welfare Free #FamilesBelongTogether illegal in your country and not the taxpayer is a SCAM #NoDACA Tell me #NoAmnesty #SendThe	1	0	0
9	NY Times: 'Nearly All White' States Pose 'an Array of Problems' for Immigrants https://t.co/ACZKLhdMV9 https://t.co/CJAlSXCzR6	0	0	0
10	"The New York Times: ""Nearly all the whites immigrants' put a lot of problems for the United States https://t.co/ACZKLhdMV9 https://t.co/CJAlSXCzR6"	0	0	0
11	"New York Times: ""Almost all white United Pose 'a number of problems' for immigrants https://t.co/ACZKLhdMV9 https://t.co/CJAlSXCzR6"	0	0	0
12	Orban in Brussels: European leaders are ignoring the will of the people, they do not want migrants https://t.co/NeYFyqvYlX	0	0	0
13	Rise in anti Brussels European leaders do not reflect the will of the people do not want immigrants https://t.co/NeYFyqvYlX	0	0	0
14	Orban in Brussels: European leaders are ignoring the will of the people, who do not want migrants https://t.co/NeYFyqvYlX	0	0	0
15	@KurtSchlichter LEGAL is. Not illegal. #BuildThatWall	1	0	0
16	@KurtSchlichter the law. Not illegal. #BuildThatWall	1	0	0
17	@KurtSchlichter is legal. Not illegal. #BuildThatWall	1	0	0
